question_id,ground_truth,baseline_prediction,original_selected_alpha,original_selected_score,spuc_selected_alpha,spuc_selected_score,action_prediction,baseline_correct,spuc_correct,repair,break_case
30126858,1,1,4.0,0.3240467097760859,4.0,0.32404670977608757,1,True,True,False,False
30110081,1,1,4.0,0.1362418345077179,4.0,0.13624183450771982,1,True,True,False,False
30115178,1,2,1.0,-0.0250577107606421,1.0,-0.025057710760646244,2,False,False,False,False
30147082,2,2,1.0,0.0202515270330346,1.0,0.020251527033034504,2,True,True,False,False
30096474,1,1,4.0,1.5620394334892296,4.0,1.3392326718157415,1,True,True,False,False
30107040,2,2,1.0,0.0769207014982158,1.0,0.07692058767232969,2,True,True,False,False
30165648,1,1,0.0,0.1126177890832745,0.0,0.11261778908327261,1,True,True,False,False
30127877,2,2,1.0,0.0613092478932097,1.0,0.061309126565361714,2,True,True,False,False
30111369,1,1,1.0,0.0576828114471382,1.0,0.05768281144713896,1,True,True,False,False
30155572,1,1,1.0,0.0828016678463276,1.0,0.0828016678463287,1,True,True,False,False
30122512,0,0,4.0,47.73595719511917,4.0,0.8035579741111144,0,True,True,False,False
30137175,1,1,4.0,5.623877113155502,1.5,1.059977450438536,1,True,True,False,False
30142713,1,1,1.0,0.0855351701312616,1.0,0.08553517013126286,1,True,True,False,False
30146672,1,1,0.0,0.2573350759596778,0.0,0.23732258196136127,1,True,True,False,False
30152678,1,1,1.0,0.0519612273449629,1.0,0.051961227344964424,1,True,True,False,False
30145122,2,2,1.0,0.0069476512197503,1.0,0.006947651219751334,2,True,True,False,False
30134003,1,1,0.0,0.1457125489162444,0.0,0.14571254891624486,1,True,True,False,False
30106573,1,1,0.0,0.1259395442122807,0.0,0.1259395442122804,1,True,True,False,False
30159291,1,1,0.0,0.1215399697079479,0.0,0.12153996970794839,1,True,True,False,False
30139298,1,1,0.0,0.1423464845603016,0.0,0.1423439191276161,1,True,True,False,False
30144738,1,1,0.0,0.1365275937202099,0.0,0.13652759372020842,1,True,True,False,False
30110955,1,1,0.0,0.1061806479683772,0.0,0.10618064796837476,1,True,True,False,False
30157935,2,3,1.0,0.0302255126359137,1.0,0.030225512635918356,3,False,False,False,False
30140612,1,1,1.0,0.052868894924316,1.0,0.052868894924316324,1,True,True,False,False
30107283,1,1,0.0,0.1730218691196945,0.0,0.17302186911969433,1,True,True,False,False
30108986,1,1,0.0,0.1860022783675024,0.0,0.1860022783675008,1,True,True,False,False
30108806,1,1,1.0,0.0851838834561914,1.0,0.08517473417408392,1,True,True,False,False
30166516,1,2,4.0,0.1485423123309234,4.0,0.1485423123309222,2,False,False,False,False
30137107,1,1,1.0,0.0489658878771675,1.0,0.04896588787716886,1,True,True,False,False
30110754,1,1,0.0,0.1277711466671359,0.0,0.127771146667136,1,True,True,False,False
30107825,3,3,1.0,0.02195093775745,1.0,0.021950937757451716,3,True,True,False,False
30154316,1,1,4.0,0.1895362007436814,4.0,0.18953620074368294,1,True,True,False,False
30127340,1,1,1.0,0.0641353848528177,1.0,0.06413538485281856,1,True,True,False,False
30129228,1,1,4.0,0.1810668296745869,4.0,0.18106682967458743,1,True,True,False,False
30126430,2,6,4.0,67.45717008602324,1.5,19.01499772811089,6,False,False,False,False
30112290,1,1,1.0,0.0859786616563899,1.0,0.08597866165639062,1,True,True,False,False
30137874,1,1,0.0,0.1379000194900328,0.0,0.13790001949003353,1,True,True,False,False
30132277,1,1,1.0,0.0509517323185737,1.0,0.05095173231857477,1,True,True,False,False
30097771,3,1,1.5,2.404060925729623,1.5,2.2576206616310697,1,False,False,False,False
30147477,1,2,4.0,0.2305005327420013,4.0,0.2305005327420016,2,False,False,False,False
30150686,2,2,1.5,0.1970087941662307,1.5,0.19700879416624095,2,True,True,False,False
30130098,1,1,1.0,0.0939467640043162,1.0,0.09394676400431767,1,True,True,False,False
30124653,2,2,1.0,-0.0304606604131884,1.0,-0.030460660413188095,2,True,True,False,False
30143761,1,1,1.0,0.0568914248727947,1.0,0.05689142487279331,1,True,True,False,False
30157728,1,1,0.0,0.1774719632533536,0.0,0.17747196325335426,1,True,True,False,False
30098237,1,1,4.0,0.1866993049895394,4.0,0.18669930498954052,1,True,True,False,False
30121647,8,3,4.0,0.7514996537903603,4.0,0.7514996537903614,4,False,False,False,False
30136744,2,2,4.0,0.204621084915926,4.0,0.20462108491592648,3,True,False,False,True
30097344,1,1,0.0,0.1022096040177933,0.0,0.10220960401779286,1,True,True,False,False
30157360,1,1,4.0,0.2558627641180722,4.0,0.2558627641180726,1,True,True,False,False
30154587,1,1,4.0,0.7348836694670765,4.0,0.7348836694670773,1,True,True,False,False
30144226,1,6,4.0,23.230394163727706,2.0,8.593461121131433,6,False,False,False,False
30133801,1,1,1.0,0.0743079896192313,1.0,0.0743079896192319,1,True,True,False,False
30164391,1,1,1.0,0.066454004282198,1.0,0.06645400428219805,1,True,True,False,False
30126319,1,1,0.0,0.1421236164466904,1.5,0.20157342703033715,1,True,True,False,False
30139917,1,1,0.0,0.1239279363789927,0.0,0.12392793637899294,1,True,True,False,False
30153920,1,2,1.5,2.035063706816085,1.5,2.035063706816083,2,False,False,False,False
30130439,1,1,4.0,0.1648925674420724,4.0,0.1648925674420726,1,True,True,False,False
30158354,2,2,4.0,0.3049211140526731,4.0,0.30492111405267425,2,True,True,False,False
30111312,1,1,0.0,0.1028635133247954,0.0,0.10286351332479465,1,True,True,False,False
30113070,3,3,1.0,-0.0048245070707175,1.0,-0.004824507070715642,3,True,True,False,False
30146831,1,1,0.0,0.2347331705028195,0.0,0.21888543039225736,1,True,True,False,False
30133870,2,2,1.0,0.0687519100423278,1.0,0.06875191004233328,2,True,True,False,False
30114502,1,1,4.0,0.2921978113028977,4.0,0.29219781130289857,1,True,True,False,False
30112163,1,1,0.0,0.1716376798015906,0.0,0.1716376798015913,1,True,True,False,False
30101254,2,2,1.0,0.0084765978335594,1.0,0.008476597833559528,2,True,True,False,False
30160318,1,1,0.0,0.146359316260949,0.0,0.1463593162609491,1,True,True,False,False
30136658,1,1,1.0,0.0942569336017381,1.0,0.0942569336017395,1,True,True,False,False
30110132,1,1,0.0,0.1236016311182892,0.0,0.1236016311182892,1,True,True,False,False
30135307,3,3,1.0,-0.1013997919978887,1.0,-0.10139979199787985,3,True,True,False,False
30153586,2,2,1.0,0.0346485031292247,1.0,0.03464850312922691,2,True,True,False,False
30150733,1,1,0.0,0.1651894774102375,0.0,0.1651894774102383,1,True,True,False,False
30116511,1,1,1.0,0.0595131397692911,1.0,0.059513139769290485,1,True,True,False,False
30132120,1,1,4.0,0.1091945095547804,4.0,0.1091945095547807,1,True,True,False,False
30158759,2,1,4.0,0.2815123227079817,4.0,0.2815123227079836,2,False,True,True,False
30150916,1,1,4.0,0.4436574835598175,4.0,0.44367073915087196,2,True,False,False,True
30144457,1,1,0.0,0.1040889274667952,0.0,0.10408892746679563,1,True,True,False,False
30103235,1,1,0.0,0.170917094847241,0.0,0.17091709484724005,1,True,True,False,False
30097673,3,3,1.5,1.270709349500091,1.5,1.2707093495001012,3,True,True,False,False
30165390,2,2,1.0,0.0157032680087151,1.0,0.01570326800871792,2,True,True,False,False
30131483,1,1,0.0,0.1450237112151063,0.0,0.14502371121510682,1,True,True,False,False
30117331,1,1,0.0,0.1538067251686265,0.0,0.1538067251686261,1,True,True,False,False
30100762,1,0,4.0,142.72934417511627,1.5,23.34639834680661,0,False,False,False,False
30109796,1,2,4.0,0.1630576826855656,4.0,0.1630576826855662,2,False,False,False,False
30136291,2,2,1.0,-0.0890784476319669,1.0,-0.10196238726655321,2,True,True,False,False
30144189,1,1,1.0,0.0953390086917968,1.0,0.09533900869179776,1,True,True,False,False
30101142,2,2,1.0,0.0940012194424659,1.0,0.09400121944246471,2,True,True,False,False
30136593,0,0,4.0,50.360558747720205,4.0,0.7690275691806246,0,True,True,False,False
30151604,4,6,1.5,0.3902536516049108,1.5,0.35837352949080753,6,False,False,False,False
30111965,1,1,1.0,0.0690243367406547,1.0,0.0690243367406553,1,True,True,False,False
30142939,2,2,1.0,0.0371874814758135,1.0,0.03718748147580948,2,True,True,False,False
30102766,2,2,4.0,0.2083148303528284,4.0,0.20831483035282927,2,True,True,False,False
30119634,1,1,1.0,0.0874192538775721,1.0,0.08741925387757354,1,True,True,False,False
30126833,1,1,0.0,0.108734787580526,0.0,0.1087347875805251,1,True,True,False,False
30158955,4,4,1.0,0.0115083579194405,1.0,0.011508357919437572,4,True,True,False,False
30124704,1,1,0.0,0.1473451103483164,0.0,0.14734511034831743,1,True,True,False,False
30161025,2,2,4.0,0.1296717861478278,4.0,0.1296717861478279,2,True,True,False,False
30150893,1,1,0.0,0.136635467563407,0.0,0.13663546756340453,1,True,True,False,False
30154080,2,2,4.0,0.1729058216412741,4.0,0.17290582164127377,2,True,True,False,False
30116666,1,1,4.0,0.4120201876629436,4.0,0.41202018766294474,1,True,True,False,False
30120796,1,1,1.0,0.0409129387001203,1.0,0.04091293870012079,1,True,True,False,False
30165510,1,1,0.0,0.1360254544362888,0.0,0.1360254544362896,1,True,True,False,False
30130739,1,1,1.0,0.0786607838964731,1.0,0.07866078389647171,1,True,True,False,False
30112469,1,1,0.0,0.1134586946050267,0.0,0.11345869460502842,1,True,True,False,False
30129053,1,1,4.0,0.1914843123038775,4.0,0.19148431230387786,1,True,True,False,False
30117390,3,2,1.0,0.0173637072210066,1.0,0.017363707221004124,2,False,False,False,False
30134365,1,1,0.0,0.1649207562393361,0.0,0.16492075623933636,1,True,True,False,False
30149538,2,2,4.0,0.4625934558020142,4.0,0.46259345580201594,3,True,False,False,True
30125420,1,1,0.0,0.1257866373533348,0.0,0.12578663735333442,1,True,True,False,False
30114576,1,1,4.0,0.2288597571927682,4.0,0.2288597571927703,2,True,False,False,True
30099194,3,5,4.0,13.986600512310408,1.5,2.3392514727448477,5,False,False,False,False
30115354,1,1,1.0,0.0586823451224793,1.0,0.05868234512247853,1,True,True,False,False
30143136,4,2,1.5,0.1666940160001621,1.5,0.1666940160001673,2,False,False,False,False
30120720,2,2,1.0,0.0169432647806476,1.0,0.016943264780651272,2,True,True,False,False
30131129,4,3,4.0,0.5268077482660919,4.0,0.5268077482660952,3,False,False,False,False
30111205,1,1,0.0,0.1549031859649524,0.0,0.1549031859649532,1,True,True,False,False
30160910,1,1,4.0,0.698027065114069,4.0,0.6980270651140689,1,True,True,False,False
30124607,2,2,1.0,0.0903698126187752,1.0,0.09036981261877707,2,True,True,False,False
30142514,1,1,0.0,0.1093793647319039,0.0,0.10937936473190493,1,True,True,False,False
30165986,3,4,1.0,-0.0467348648728566,1.0,-0.04673486487285469,4,False,False,False,False
30114780,1,1,0.0,0.1445399372054467,0.0,0.1445399372054467,1,True,True,False,False
30101495,4,2,1.5,1.9063842362107155,1.5,1.9063842362107268,2,False,False,False,False
30096870,2,2,1.0,0.0158479128036457,1.0,0.015847912803649104,2,True,True,False,False
30126831,1,1,1.5,3.1515989873159898,1.5,2.2603422797854433,1,True,True,False,False
30166312,1,1,0.0,0.1186003144627063,0.0,0.11860031446270639,1,True,True,False,False
30142289,5,7,4.0,1448.5565093093476,1.5,19.474652191898265,8,False,False,False,False
30108014,1,1,1.0,0.0835255438923154,1.0,0.08352554389231615,1,True,True,False,False
30151531,1,1,1.0,0.0889356282791816,1.0,0.08893312067126014,1,True,True,False,False
30128546,4,4,4.0,0.3860840371274143,4.0,0.3860840371274135,5,True,False,False,True
30130909,1,1,1.0,0.0669812304242,1.0,0.06698123042419846,1,True,True,False,False
30131194,9,8,4.0,0.7135072830899998,2.0,0.3584826307834517,9,False,True,True,False
30102838,1,2,1.0,0.0315789695543002,1.0,0.03157896955429921,2,False,False,False,False
30146964,0,0,4.0,49.19767271170568,4.0,0.8295889564651268,0,True,True,False,False
30147058,1,1,4.0,0.2470513215971953,4.0,0.24705132159719578,1,True,True,False,False
30113327,2,2,4.0,0.2947879395250949,4.0,0.29478793952509497,2,True,True,False,False
30138606,3,4,1.5,0.4740244534446834,1.5,0.4740244534446939,4,False,False,False,False
30151595,1,1,1.0,0.0947740143004881,1.0,0.09477401430048815,1,True,True,False,False
30163956,2,2,1.0,0.0918967909839618,1.0,0.0918967909839624,2,True,True,False,False
30156205,1,1,0.0,0.1170844382430926,0.0,0.11708443824309289,1,True,True,False,False
30151705,2,2,4.0,0.2200587898623895,4.0,0.22005878986239022,2,True,True,False,False
30125770,1,1,4.0,0.1618618887180454,4.0,0.16186895685418556,1,True,True,False,False
30100332,3,3,1.0,-0.0844288555010806,1.0,-0.08442885550106785,3,True,True,False,False
30128718,1,4,2.0,10.140984485750234,2.0,16.797947958392722,4,False,False,False,False
30123184,1,1,0.0,0.1058440586121593,0.0,0.10584405861215973,1,True,True,False,False
30131939,1,1,4.0,0.1943941778368809,4.0,0.19439417783688,1,True,True,False,False
30110882,11,9,4.0,490.6827024294289,1.5,7.785403926714668,9,False,False,False,False
30133759,2,2,4.0,0.1670882967057486,4.0,0.16708829670574804,2,True,True,False,False
30114134,1,1,0.0,0.1249647023350644,0.0,0.12496470233506421,1,True,True,False,False
30139557,3,4,1.5,0.3823324888168178,1.5,0.38506894776032985,4,False,False,False,False
30149760,1,1,2.0,0.1214015452939473,2.0,0.12140154529394806,2,True,False,False,True
30104384,2,2,4.0,0.3345903035979941,4.0,0.33459030359799435,3,True,False,False,True
30149959,1,1,1.0,0.0967190467828345,1.0,0.096719046782835,1,True,True,False,False
30121800,1,1,0.0,0.1169843190755324,0.0,0.11696902085912836,1,True,True,False,False
30135273,2,2,1.0,0.0675401625438242,1.0,0.06754015231940248,2,True,True,False,False
30143491,1,1,4.0,0.2333926169765207,4.0,0.23339489914774436,1,True,True,False,False
30131628,1,1,4.0,0.2101486326243467,4.0,0.21014863262434708,2,True,False,False,True
30148182,1,1,4.0,0.1264852381883863,4.0,0.12648523818838614,1,True,True,False,False
30106339,2,3,1.5,7.776500666136578,1.5,5.75882830775249,3,False,False,False,False
30159201,2,2,4.0,0.1799789813722876,4.0,0.17998842735717924,2,True,True,False,False
30136623,1,1,0.0,0.1354618903954968,0.0,0.1354618903954982,1,True,True,False,False
30114059,2,2,4.0,0.2367183527718276,4.0,0.23671835277182762,2,True,True,False,False
30148853,3,3,1.0,0.0963278589525579,1.0,0.09632785895256148,3,True,True,False,False
30094201,1,3,1.0,-0.0950801316616812,1.0,-0.09508013166167865,3,False,False,False,False
30098554,2,2,1.0,0.020048905632311,1.0,0.020048905632310675,2,True,True,False,False
30147979,1,1,0.0,0.125256131445144,0.0,0.1252561314451447,1,True,True,False,False
30148110,2,1,1.0,0.0924443638433189,1.0,0.09244436384331922,1,False,False,False,False
30152773,2,2,1.0,0.0222856295459493,1.0,0.02228562954595322,2,True,True,False,False
30137666,3,4,1.0,-0.0826648601204554,1.0,-0.0826648601204439,4,False,False,False,False
