image,question_id,subset,answer,data_source,width,height,file_bytes,file_sha256,pixel_sha256
VG_100K/107916.jpg,901079165208,complex,4,amt,1024,683,307674,2eae8efd556d70494a0d002a6fb58e0817982e03ce50ae08c61cc78c7aa04a57,e8b59da6a3a3c8bb2b4d0fdc3189cbf39c75a36fcd8bf1885f599a080829bedf
VG_100K/1159273.jpg,9115927317778,complex,1,amt,1024,768,439387,057137c17e2cd50f98d5fc3b42d5923e562cdf3ae0a524d3b5f8bba197154a8f,caeaca0e3658f3462805cd08fa3af7a04c65e0b7b0238dada60265c7a20a2cc4
VG_100K/1159291.jpg,911592914591,complex,1,amt,1024,683,438497,39dcd8a6155773fbcb1dc0a2e810d2cd121ffb9a6a57ae289b3e78c344e92d14,2e3e9f31e39e1fb11c7189e1e7d7b46547280ceb635442de11f2f3e167d48d8d
VG_100K/1159490.jpg,9115949016265,complex,1,amt,1024,768,462281,35df9db6aa6fbf51fee3ccc282ff364d28bae32a983904c26c9afb9a0201ada4,6512fb6b4df98a3d24a53f3d74f69229ed6a812c2a79500139a03911c499d763
VG_100K/1159499.jpg,9115949920399,complex,0,amt,1024,768,663628,aa15050ef5cb721c9a00583314c54b9ac2538f034bc8c0efc10448439a8976fc,188ac34913b45da788533c861681993f6a730d810d701d76502810cc740e4a7f
VG_100K/1159561.jpg,911595614259,complex,1,amt,1024,746,380750,ced0825f4ac323c14cb76ca14788b4611de90472ee4b757b06000f8b9fad18c1,a943d1566f8fdc9e5bb165ab39e57e70efc0eb0f51ddd4a060f217176edde597
VG_100K/1159739.jpg,911597393468,complex,7,amt,1024,683,398620,d352f3d391a0afb3290c9e72c6ad6705906f63c5481385038b0a97bcbf1c64ba,8748a4b3b103c676af8366cd0979996397c94724daec075371106a231280c3b1
VG_100K/1159833.jpg,9115983320056,complex,1,amt,768,1024,513889,d0b2fdac276d1ce01adee84f35906de41acf0f7647878a6e55a4d43962f5eeab,c4ce9bb8f2dc35ab1e7ca8dedba0607a925d9fa8b931333009b0b858e1f38fc2
VG_100K/1159877.jpg,9115987717145,complex,9,amt,1024,768,415355,63ebb8661732d8b3040e414bd655f26d2941460dfcd47db2166c8ada8a74a855,9b0705f34dac630d0d68f6de175cc0a13ba0464ea06d60ceb1215b99740f8b5f
VG_100K/1160010.jpg,9116001010647,complex,5,amt,867,1024,446532,b0142164c268795c027f4688e73e0e72ab0b3774909fbff49f3693c3eacc6463,fb349e30e4ff36ecb45fc584d6a8d2b369082486a2c475617a59f4a217ec5e6c
VG_100K/1160013.jpg,911600131551,complex,3,amt,768,1024,468947,3a50307c6a3ee0565f1de74a26e450ccd7731b71c115895a6f4404d910c5c33b,4772e4f23f36a9473c179b21b0aba898430b2503a7a5568290a3f85eebd753a8
VG_100K/1160074.jpg,911600747097,complex,1,amt,1024,471,216898,420d3d0f89019b7875e7f403519f17dd2107faca919d32a57d9d5af8b285056d,9914e8f4498872e9b0db148e00c976d0b64562c17320bcf74ca76ab46ee5c66d
VG_100K/1160207.jpg,9116020715372,complex,2,amt,612,612,129545,6afab115d3b390ff515421654e836e76952d19f804670fb543a2ee3a82fd3731,816dac0ca3f128a466ca9d935f3eba25342351ea131912a2b3dea8ec24fa0b22
VG_100K/1160242.jpg,911602426382,complex,0,amt,1024,575,298483,04ab7d96c156fff147b48b9a634d0dd4f4dd93c1cd9183d8710f47356cf9582c,e4edba1d9d8dd1cc9c38f666291fc0974ef892a24dcb8010da3ef964c145e7dd
VG_100K/150419.jpg,901504195087,complex,1,amt,612,612,152807,54e4edc6db6d966f8e87c72d1c94399082939195070b87cadc4149cc0a783dac,b5d870115cdcda98a344ca8cd9fce659f074adcdaa862b5c10d50f4decb8f149
VG_100K/1591891.jpg,9159189111169,complex,3,amt,1024,682,416646,3709bfddbf76b68257c4ceaee3ecf4ee526449fa80d4dd72c493aa619f23881f,2941344219e72b98630cac276ed117f65545cf6178e9e703ff542eca4ec48939
VG_100K/1592160.jpg,30093720,simple,1,imported_genome,1024,657,672840,18f5288626eb74a4369d6f8867e70d2e577a01e845b2a5790f05eb4d9c2651d5,c26838ed03cdb3c280a6c27016d4531c1d66abfd7af4152007009a745182d16f
VG_100K/1592214.jpg,915922143833,complex,0,amt,1024,665,314027,ea60e4716c7bc03ac8475a5c6d1eaa6c21757551bdcd13d351d03487a6337c33,9181b6d1b40828283382360b0073b204c1db359e2efc20dfb03af8e00d3abc82
