manifest_index,question_id,image,image_id,subset,issimple,data_source,question,ground_truth,baseline_prediction,selected_alpha,selected_score,post_prediction,baseline_correct,post_correct,repair,break_case,hook_calls,score_alpha_0,score_alpha_1p5,score_alpha_2,score_alpha_4,baseline_expected_numeral,post_expected_numeral,baseline_entropy,post_entropy,baseline_top1_prob,post_top1_prob,baseline_conditional_margin,post_conditional_margin,feature__baseline_best_numeral,feature__baseline_entropy,feature__baseline_entropy_norm,feature__baseline_expected_numeral,feature__baseline_top1_prob,feature__baseline_conditional_margin,feature__baseline_vocab_numeral_mass,feature__baseline_numprob_0,feature__baseline_numprob_1,feature__baseline_numprob_2,feature__baseline_numprob_3,feature__baseline_numprob_4,feature__baseline_numprob_5,feature__baseline_numprob_6,feature__baseline_numprob_7,feature__baseline_numprob_8,feature__baseline_numprob_9,feature__baseline_numprob_10,feature__baseline_numprob_11,feature__baseline_numprob_12,feature__baseline_numprob_13,feature__baseline_numprob_14,feature__baseline_numprob_15,feature__geom_top2_prob,feature__geom_expected_minus_pred,feature__geom_p_down1,feature__geom_p_up1,feature__geom_p_down2,feature__geom_p_up2,feature__geom_local_asymmetry,feature__geom_up_mass,feature__geom_down_mass,feature__geom_signed_tail_mass,feature__geom_up_distance_mass,feature__geom_down_distance_mass,feature__geom_signed_distance_mass,feature__geom_up_boundary_gap,feature__geom_down_boundary_gap,feature__geom_up_down_logratio
0,30149352,VG_100K/2335023.jpg,92335023,simple,True,imported_genome,How many skaters?,2,2,1.0,-0.007692286980873153,2,True,True,False,False,0,-0.007692286980873153,-0.019729927619402978,-0.021012723748875577,-0.06927779510280814,1.9999650396203117,1.9999650396203117,0.006888591225551379,0.006888591225551379,0.9992408701915929,0.9992408701915929,0.9988104546405195,0.9988104546405195,2.0,0.006888591225551379,0.0024845340999535503,1.9999650396203117,0.9992408701915929,0.9988104546405195,0.9658402218362383,1.1357022020738555e-06,0.0004304155510733875,0.9992408701915929,0.0002958199936776474,1.8911139497993752e-05,4.491789343591947e-06,2.900117170714649e-06,1.5523208596691754e-06,1.3699183504755036e-06,5.710669303738691e-07,4.7343111370983684e-07,4.7343111370983684e-07,5.710669303738691e-07,1.5370057919010997e-07,1.9735545023972814e-07,9.322411369439126e-08,0.0004304155510733875,-3.496037968830912e-05,0.0004304155510733875,0.0002958199936776474,1.1357022020738555e-06,1.8911139497993752e-05,-0.00013459555739574013,0.0003275785551313841,0.0004315512532754614,-0.0001039726981440773,0.0003977265757898863,0.00043268695547753525,-3.496037968764895e-05,0.9989450501979152,0.9988104546405195,-0.37499999894290187
1,30133241,VG_100K/2361954.jpg,92361954,simple,True,imported_genome,How many players are on the field?,7,14,1.0,-0.08804832007992688,14,False,False,False,False,0,-2.586828341103869,-1.5265167810520115,-0.08804832007992688,-6.277512923974541,13.352409163441639,13.352409163441639,1.650878427943947,1.650878427943947,0.27578191095125776,0.27578191095125776,0.032405228747912074,0.032405228747912074,14.0,1.650878427943947,0.5954285302763251,13.352409163441639,0.27578191095125776,0.032405228747912074,0.8793137750731148,6.295692407093188e-06,0.00028496479736766757,4.370076705229042e-05,3.003506866998096e-05,0.00011879100096796279,8.164378138212883e-05,0.0001432892987265537,0.0004146213336383717,0.0018582038992960828,0.007349338988546189,0.022637557780930174,0.08953327784312652,0.11496300438993987,0.24337668220334568,0.27578191095125776,0.24337668220334568,0.24337668220334568,-0.6475908365583614,0.24337668220334568,0.24337668220334568,0.11496300438993987,0.0,0.0,0.24337668220334568,0.48084140684539656,-0.23746472464205087,0.24337668220334568,0.8909675187617092,-0.6475908365583636,0.032405228747912074,0.032405228747912074,0.0
2,923306164644,VG_100K/2330616.jpg,92330616,complex,False,amt,How many peoples have bottle?,1,2,1.0,-0.008384212484169075,2,False,False,False,False,0,-0.008384212484169075,-0.013818091441850004,-0.034265577689356425,-0.170104044573754,2.110163718587027,2.110163718587027,0.36137613270715435,0.36137613270715435,0.8906567136466998,0.8906567136466998,0.7842829386291927,0.7842829386291927,2.0,0.36137613270715435,0.1303388886380609,2.110163718587027,0.8906567136466998,0.7842829386291927,0.9218138015450634,5.418393899891487e-07,0.0008121737946744786,0.8906567136466998,0.10637377501750708,0.0019483036504521131,0.00015992650246629873,3.1491395510186546e-05,1.0223759252939721e-05,3.5332366543892448e-06,1.3836353542395368e-06,4.4920063167810984e-07,5.418393899891487e-07,4.4920063167810984e-07,1.6525167735560198e-07,1.9933157199388316e-07,1.2869813572840595e-07,0.10637377501750708,0.11016371858702678,0.0008121737946744786,0.10637377501750708,5.418393899891487e-07,0.0019483036504521131,0.1055616012228326,0.10853057071923568,0.0008127156340644677,0.1077178550851712,0.11097697606048106,0.0008132574734544569,0.1101637185870266,0.7842829386291927,0.8898445398520254,4.874999998778137
3,9233549115517,VG_100K/2335491.jpg,92335491,complex,False,amt,How many plates are with salads?,1,1,1.0,-0.020965953695888072,1,True,True,False,False,0,-0.020965953695888072,-0.10788242829162784,-0.15874983867493944,-0.2843749025233445,1.2500929443689932,1.2500929443689932,0.5744808228233703,0.5744808228233703,0.7530353075408649,0.7530353075408649,0.5085605369397694,0.5085605369397694,1.0,0.5744808228233703,0.2072001585432719,1.2500929443689932,0.7530353075408649,0.5085605369397694,0.8021352359924094,1.7190680315490377e-05,0.7530353075408649,0.2444747706010955,0.0021151212000935153,0.00022293213434421643,5.2951023152136995e-05,3.87397961068189e-05,1.7190680315490377e-05,1.1099137413989331e-05,4.083144469343442e-06,1.7021078501296389e-06,2.8063014175344016e-06,2.8063014175344016e-06,8.558735761574123e-07,1.4110969700409116e-06,1.0323805972411821e-06,0.2444747706010955,0.2500929443689932,1.7190680315490377e-05,0.2444747706010955,0.0,0.0021151212000935153,0.24445757992078,0.24694750177881963,1.7190680315490377e-05,0.24693031109850413,0.2501101350493086,1.7190680315490377e-05,0.25009294436899315,0.5085605369397694,0.7530181168605494,9.562499941833037
4,30094790,VG_100K_2/2412333.jpg,92412333,simple,True,imported_genome,How many giraffes are in the photo?,2,2,1.0,-0.01232781336201564,2,True,True,False,False,0,-0.01232781336201564,-0.01806311280482105,-0.020293993358318895,-0.08922224371968451,2.0000188282810925,2.0000188282810925,0.0002085886651104316,0.0002085886651104316,0.9999845182646452,0.9999845182646452,0.9999755786268247,0.9999755786268247,2.0,0.0002085886651104316,7.523245818511711e-05,2.0000188282810925,0.9999845182646452,0.9999755786268247,0.9615222064358955,1.2751708493240704e-07,3.0894561621293748e-06,0.9999845182646452,8.939637820434015e-06,1.4593557571495382e-06,4.450783593498904e-07,3.68982919773019e-07,2.102401303057343e-07,3.68982919773019e-07,7.734302164868475e-08,1.637351781151401e-07,6.411961703481674e-08,9.931040560034145e-08,1.5229743958196763e-08,3.653425651476289e-08,1.62119780542382e-08,8.939637820434015e-06,1.882828109245338e-05,3.0894561621293748e-06,8.939637820434015e-06,1.2751708493240704e-07,1.4593557571495382e-06,5.85018165830464e-06,1.2264762107711396e-05,3.2169732470617816e-06,9.047788860649614e-06,2.217277142424272e-05,3.344490331994189e-06,1.882828109224853e-05,0.9999755786268247,0.9999814288084831,1.0624997881798381
5,30105252,VG_100K_2/2405526.jpg,92405526,simple,True,imported_genome,How many bears are in the scene?,2,2,1.0,-0.011522119940517161,2,True,True,False,False,0,-0.011522119940517161,-0.015516466752212882,-0.018863607146116346,-0.09375817341313383,2.0006837717695034,2.0006837717695034,0.008220814897720875,0.008220814897720875,0.9990586942627497,0.9990586942627497,0.9983491883651339,0.9983491883651339,2.0,0.008220814897720875,0.0029650322212520044,2.0006837717695034,0.9990586942627497,0.9983491883651339,0.9496450578926172,4.4466628874251195e-07,0.0001793911843742838,0.9990586942627497,0.0007095058976158833,3.117351352896516e-05,8.931361161034554e-06,4.2188762829228785e-06,3.2856641528217157e-06,2.2582017459421875e-06,6.887126207855965e-07,4.1772532023750453e-07,2.697037374629641e-07,3.253248065097219e-07,1.3561555589316264e-07,1.5367255737213496e-07,1.0561750112625893e-07,0.0007095058976158833,0.0006837717695034051,0.0001793911843742838,0.0007095058976158833,4.4466628874251195e-07,3.117351352896516e-05,0.0005301147132415996,0.0007614698865869571,0.0001798358506630263,0.0005816340359239309,0.0008640522864559655,0.0001802805169517688,0.0006837717695041967,0.9983491883651339,0.9988793030783755,1.3749999958350216
6,30155589,VG_100K/2324628.jpg,92324628,simple,True,imported_genome,How many elephants are there?,2,2,1.0,-6.047154085228254e-05,2,True,True,False,False,0,-6.047154085228254e-05,-0.016581667631505544,-0.014948455697946835,-0.02915903985070542,1.9958018507881268,1.9958018507881268,0.03252754072657329,0.03252754072657329,0.9950631170214332,0.9950631170214332,0.9904550605917707,0.9904550605917707,2.0,0.03252754072657329,0.011731830424635268,1.9958018507881268,0.9950631170214332,0.9904550605917707,0.9894631756817631,2.887991992426591e-06,0.004608056429662539,0.9950631170214332,0.0002945831918681433,1.4666433513562831e-05,5.3954793649476075e-06,3.4835833013505216e-06,1.5458307194176618e-06,1.2038941747783082e-06,6.85958223582288e-07,8.807877938656303e-07,1.5458307194176618e-06,1.2038941747783082e-06,2.5234992795840736e-07,2.686251000200457e-07,2.226980297907403e-07,0.004608056429662539,-0.0041981492118732255,0.004608056429662539,0.0002945831918681433,2.887991992426591e-06,1.4666433513562831e-05,-0.004313473237794396,0.0003259385569116133,0.004610944421654966,-0.004285005864743352,0.00041568320177487776,0.004613832413647392,-0.004198149211872514,0.9947685338295651,0.9904550605917707,-2.7499999968223845
7,30162932,VG_100K_2/2413458.jpg,92413458,simple,True,imported_genome,How many baseballs are in the picture?,1,1,1.0,0.0033237140869176694,1,True,True,False,False,0,0.0033237140869176694,-0.007871925543287263,-0.015762695753517908,-0.040590964169878015,1.0003945709410016,1.0003945709410016,0.0032804654675391955,0.0032804654675391955,0.9996577410468499,0.9996577410468499,0.9993617976407524,0.9993617976407524,1.0,0.0032804654675391955,0.001183177815456573,1.0003945709410016,0.9996577410468499,0.9993617976407524,0.8332487130729156,1.012662648340033e-05,0.9996577410468499,0.0002959434060974605,2.143806843358885e-05,5.4203925575831e-06,2.560412146928581e-06,4.783479642859678e-06,8.848547607642754e-07,3.9265191990158466e-07,1.1975206967129837e-07,7.263330181968583e-08,1.7423823325449978e-07,2.1017142755724632e-07,3.2230832304792794e-08,5.3139658793280714e-08,4.6895584289472496e-08,0.0002959434060974605,0.00039457094100159296,1.012662648340033e-05,0.0002959434060974605,0.0,2.143806843358885e-05,0.0002858167796140602,0.00033213232666677686,1.012662648340033e-05,0.00032200570018337655,0.00040469756748474206,1.012662648340033e-05,0.00039457094100134175,0.9993617976407524,0.9996476144203665,3.3749999046294605
8,923603034952,VG_100K/2360303.jpg,92360303,complex,False,amt,How many lelephnats are there in the image?,2,3,0.0,0.24005501617261782,2,False,True,True,False,1,0.24005501617261782,-0.09298391179502188,-0.06255751163432156,-0.04155335088926404,2.5635867837592436,2.0767506092786006,0.6927087441391421,0.2738242768891066,0.5616670457861821,0.9236199685736217,0.12424031070250086,0.8478046247242506,3.0,0.6927087441391421,0.24984186748749052,2.5635867837592436,0.5616670457861821,0.12424031070250086,0.8495625321628495,7.233692326833332e-07,4.204180616471465e-05,0.43742673508368124,0.5616670457861821,0.0007452088451018477,6.93152200824168e-05,2.250335722524365e-05,1.0629833277587948e-05,6.863136191848829e-06,2.524806706940848e-06,1.8471880468672278e-06,1.6301377298516171e-06,9.288244804153087e-07,5.996941570902965e-07,7.233692326833332e-07,6.795425064200838e-07,0.43742673508368124,-0.43641321624075635,0.43742673508368124,0.0007452088451018477,4.204180616471465e-05,6.93152200824168e-05,-0.43668152623857937,0.0008634539547392137,0.43746950025907866,-0.43660604630433947,0.001099772562951735,0.4375129888037087,-0.43641321624075696,0.5609218369410802,0.12424031070250086,-6.37499999866038
9,30130040,VG_100K/2367497.jpg,92367497,simple,True,imported_genome,How many people are in this picture?,2,2,1.0,-0.008806905375761113,2,True,True,False,False,0,-0.008806905375761113,-0.021294615973824486,-0.02181195516324468,-0.06720752404913097,1.9999820699679318,1.9999820699679318,0.0015049361516872022,0.0015049361516872022,0.9998594008035815,0.9998594008035815,0.9997745944937108,0.9997745944937108,2.0,0.0015049361516872022,0.0005427909807234119,1.9999820699679318,0.9998594008035815,0.9997745944937108,0.9754892018724153,1.2750113007148912e-07,8.480630987075187e-05,0.9998594008035815,5.143762707370115e-05,2.2600116064827918e-06,5.714204210971448e-07,2.8732823202509686e-07,2.535662747872559e-07,2.2377145209966774e-07,1.5379571992758924e-07,9.328181946866011e-08,1.2750113007148912e-07,1.742733821242466e-07,2.672568873761739e-08,3.652968537057667e-08,1.9552931574804126e-08,8.480630987075187e-05,-1.793003206818078e-05,8.480630987075187e-05,5.143762707370115e-05,1.2750113007148912e-07,2.2600116064827918e-06,-3.336868279705073e-05,5.5665385417468085e-05,8.493381100082336e-05,-2.9268425583355278e-05,6.713128006275428e-05,8.506131213089485e-05,-1.793003206814057e-05,0.9998079631765078,0.9997745944937108,-0.4999999923505543
